"project
name","sample
id","sample
matrix","analytes
requested",ammonia_uM/liter,orthophosphate_uM/liter
cyano,20171012W1,freshwater,NH4/PO87,14.03,0.18
cyano,20171012W2,freshwater,NH4/PO88,14.93,0.20
cyano,20171012W3,freshwater,NH4/PO89,16.70,0.00
cyano,20171012Y1,freshwater,NH4/PO90,0.56,0.00
cyano,20171012Y2,freshwater,NH4/PO91,0.51,0.00
cyano,20171012Y3,freshwater,NH4/PO92,0.67,0.00
cyano,20171016W1,freshwater,NH4/PO93,17.75,0.16
cyano,20171016W2,freshwater,NH4/PO94,14.99,0.30
cyano,20171016W3,freshwater,NH4/PO95,16.37,0.21
cyano,20171016Y1,freshwater,NH4/PO96,0.74,0.00
cyano,20171016Y2,freshwater,NH4/PO97,0.77,0.00
cyano,20171016Y3,freshwater,NH4/PO98,0.75,0.00
cyano,20171101W1,freshwater,NH4/PO99,14.60,0.02
cyano,20171101W2,freshwater,NH4/PO100,13.94,0.27
cyano,20171101W3,freshwater,NH4/PO101,14.20,0.26
cyano,20171101Y1,freshwater,NH4/PO102,0.82,0.00
cyano,20171101Y2,freshwater,NH4/PO103,0.76,0.00
cyano,20171101Y3,freshwater,NH4/PO104,1.84,0.00
